Ticker,Old Price,Date,Type,Original Currency,FX Ticker,FX Rate
^OEX,494.30999755859375,2010-05-21,INDEX,USD,GBP=X,
^OEX,493.05999755859375,2010-05-28,INDEX,USD,GBP=X,
^OEX,483.4200134277344,2010-06-04,INDEX,USD,GBP=X,
^OEX,493.0199890136719,2010-06-11,INDEX,USD,GBP=X,
^OEX,504.70001220703125,2010-06-18,INDEX,USD,GBP=X,
^OEX,486.6199951171875,2010-06-25,INDEX,USD,GBP=X,
^OEX,463.8399963378906,2010-07-02,INDEX,USD,GBP=X,
^OEX,488.7799987792969,2010-07-09,INDEX,USD,GBP=X,
^OEX,484.2099914550781,2010-07-16,INDEX,USD,GBP=X,
^OEX,499.8299865722656,2010-07-23,INDEX,USD,GBP=X,
^OEX,500.55999755859375,2010-07-30,INDEX,USD,GBP=X,
^OEX,509.4599914550781,2010-08-06,INDEX,USD,GBP=X,
^OEX,490.5899963378906,2010-08-13,INDEX,USD,GBP=X,
^OEX,485.8599853515625,2010-08-20,INDEX,USD,GBP=X,
^OEX,481.95001220703125,2010-08-27,INDEX,USD,GBP=X,
^OEX,498.9599914550781,2010-09-03,INDEX,USD,GBP=X,
^OEX,502.260009765625,2010-09-10,INDEX,USD,GBP=X,
^OEX,509.0400085449219,2010-09-17,INDEX,USD,GBP=X,
^OEX,519.3400268554688,2010-09-24,INDEX,USD,GBP=X,
^OEX,517.219970703125,2010-10-01,INDEX,USD,GBP=X,
^OEX,526.27001953125,2010-10-08,INDEX,USD,GBP=X,
^OEX,530.780029296875,2010-10-15,INDEX,USD,GBP=X,
^OEX,534.1900024414062,2010-10-22,INDEX,USD,GBP=X,
^OEX,533.0800170898438,2010-10-29,INDEX,USD,GBP=X,
^OEX,595.02001953125,2011-04-01,INDEX,USD,GBP=X,
^OEX,594.4299926757812,2011-04-08,INDEX,USD,GBP=X,
^OEX,587.3200073242188,2011-04-14,INDEX,USD,GBP=X,
^OEX,588.5599975585938,2011-04-15,INDEX,USD,GBP=X,
^OEX,608.3300170898438,2011-04-29,INDEX,USD,GBP=X,
^OEX,597.3200073242188,2011-05-06,INDEX,USD,GBP=X,
^OEX,594.2000122070312,2011-05-13,INDEX,USD,GBP=X,
^OEX,591.3499755859375,2011-05-20,INDEX,USD,GBP=X,
^OEX,590.4299926757812,2011-05-27,INDEX,USD,GBP=X,
^OEX,578.5,2011-06-03,INDEX,USD,GBP=X,
^OEX,566.530029296875,2011-06-10,INDEX,USD,GBP=X,
^OEX,567.0399780273438,2011-06-17,INDEX,USD,GBP=X,
^OEX,563.6199951171875,2011-06-24,INDEX,USD,GBP=X,
^OEX,595.25,2011-07-01,INDEX,USD,GBP=X,
^OEX,598.030029296875,2011-07-08,INDEX,USD,GBP=X,
^OEX,587.719970703125,2011-07-15,INDEX,USD,GBP=X,
^OEX,602.510009765625,2011-07-22,INDEX,USD,GBP=X,
^OEX,579.719970703125,2011-07-29,INDEX,USD,GBP=X,
^OEX,542.47998046875,2011-08-05,INDEX,USD,GBP=X,
^OEX,531.3699951171875,2011-08-12,INDEX,USD,GBP=X,
^OEX,509.010009765625,2011-08-19,INDEX,USD,GBP=X,
^OEX,531.510009765625,2011-08-26,INDEX,USD,GBP=X,
^OEX,528.8800048828125,2011-09-02,INDEX,USD,GBP=X,
^OEX,519.5399780273438,2011-09-09,INDEX,USD,GBP=X,
^OEX,546.4299926757812,2011-09-16,INDEX,USD,GBP=X,
^OEX,512.530029296875,2011-09-23,INDEX,USD,GBP=X,
^OEX,513.3699951171875,2011-09-30,INDEX,USD,GBP=X,
^OEX,523.3599853515625,2011-10-07,INDEX,USD,GBP=X,
^OEX,554.5999755859375,2011-10-14,INDEX,USD,GBP=X,
^OEX,558.469970703125,2011-10-21,INDEX,USD,GBP=X,
^OEX,577.3800048828125,2011-10-28,INDEX,USD,GBP=X,
^OEX,640.6799926757812,2012-03-30,INDEX,USD,GBP=X,
^OEX,622.6400146484375,2012-04-13,INDEX,USD,GBP=X,
^OEX,626.0999755859375,2012-04-20,INDEX,USD,GBP=X,
^OEX,637.989990234375,2012-04-27,INDEX,USD,GBP=X,
^OEX,622.72998046875,2012-05-04,INDEX,USD,GBP=X,
^OEX,615.3400268554688,2012-05-11,INDEX,USD,GBP=X,
^OEX,591.6099853515625,2012-05-18,INDEX,USD,GBP=X,
^OEX,599.1799926757812,2012-05-25,INDEX,USD,GBP=X,
^OEX,583.8300170898438,2012-06-01,INDEX,USD,GBP=X,
^OEX,605.6199951171875,2012-06-08,INDEX,USD,GBP=X,
^OEX,614.8400268554688,2012-06-15,INDEX,USD,GBP=X,
^OEX,611.72998046875,2012-06-22,INDEX,USD,GBP=X,
^OEX,623.8200073242188,2012-06-29,INDEX,USD,GBP=X,
^OEX,620.2000122070312,2012-07-06,INDEX,USD,GBP=X,
^OEX,622.8300170898438,2012-07-13,INDEX,USD,GBP=X,
^OEX,626.5700073242188,2012-07-20,INDEX,USD,GBP=X,
^OEX,637.1699829101562,2012-07-27,INDEX,USD,GBP=X,
^OEX,640.6400146484375,2012-08-03,INDEX,USD,GBP=X,
